id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
151,151,96.551724,002,Tasa,0.160000,15.448276,2026-01-15 20:59:52,2026-01-15 20:59:52
152,152,77.586207,002,Tasa,0.160000,12.413793,2026-01-15 20:59:52,2026-01-15 20:59:52
153,153,155.172414,002,Tasa,0.160000,24.827586,2026-01-15 20:59:52,2026-01-15 20:59:52
154,154,29.310345,002,Tasa,0.160000,4.689655,2026-01-15 20:59:52,2026-01-15 20:59:52
155,155,60.344828,002,Tasa,0.160000,9.655172,2026-01-15 20:59:52,2026-01-15 20:59:52
156,156,180.172414,002,Tasa,0.160000,28.827586,2026-01-15 20:59:52,2026-01-15 20:59:52
157,157,331.034483,002,Tasa,0.160000,52.965517,2026-01-15 20:59:52,2026-01-15 20:59:52
158,158,36.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
159,159,20.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
160,160,30.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
161,161,20.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
162,162,15.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
163,163,20.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
164,164,27.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
165,165,40.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
166,166,20.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
167,167,20.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
168,168,31.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
169,169,21.551724,002,Tasa,0.160000,3.448276,2026-01-15 20:59:52,2026-01-15 20:59:52
170,170,35.344828,002,Tasa,0.160000,5.655172,2026-01-15 20:59:52,2026-01-15 20:59:52
171,171,29.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
172,172,124.000000,002,Tasa,0.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
